SimID,Longitude,Latitude,UrRMSE,NpRMSE,BzRMSE
21,176,16,70.76048274396332,6.238789481328341,8.775939606823847
21,176,18,88.9136187755213,8.599805003480322,9.362191011271204
21,176,20,100.35984169831292,9.076497801199839,10.661183898914853
21,178,-10,253.62940286132962,11.572006246281562,10.501273383675226
21,178,-8,228.8752891443166,11.445401052591366,10.595214359236493
21,178,-6,201.51837217760013,12.247312051856326,10.59431163715823
21,178,-4,178.15566311338418,16.154055494103172,10.417345393334381
21,178,-2,163.5359909701515,14.216914098337922,8.391604532050433
21,178,0,160.9438197707591,10.837773716928742,9.110402635029459
21,178,2,177.67885757840253,8.925568806681657,9.335851898026942
21,178,4,196.3795264291072,10.3662736799894,8.65303439607541
21,178,6,195.3786497726601,10.60198057172157,9.28423137367674
21,178,7,193.6060547951916,10.673636109481679,9.367016478936021
21,178,8,187.83614307292967,10.315856296495523,9.203623648981328
21,178,10,177.30229207023808,6.503810607211897,9.352946570134144
21,178,12,138.53215956815046,5.948432434837898,9.33231332168798
21,178,14,99.73310465544576,5.92284425066001,9.021539150809005
21,178,16,67.32058376624329,5.899068927150934,8.290962689869659
21,178,18,85.24734438824342,5.906022654745379,9.067069270173599
21,178,20,93.51778523942801,5.77838107356426,10.369495979687645
21,180,-10,252.4555330097742,10.722278514953738,10.396886888804737
21,180,-8,224.61979647367073,11.27161634776445,10.380368671138182
21,180,-6,200.9891993800062,18.043906289152318,10.14498669806557
21,180,-4,177.76925635179336,11.54741046488571,9.805247163276864
21,180,-2,161.5802608672528,9.529135821424298,9.429732475879682
21,180,0,158.67598012113424,8.858948104751278,9.885487905805899
21,180,2,204.56053192788374,9.999161914599,9.307509021751883
21,180,4,197.86070156132678,9.791592087839591,8.67585198103035
21,180,6,194.71160259274254,10.155885390565626,8.78847630285571
21,180,7,198.65372121130457,10.095428451615671,9.029677788339626
21,180,8,201.6179171410379,9.765826916781162,9.168399618474998
21,180,10,180.6700506749251,6.384008239031494,8.983885610772234
21,180,12,152.2433528787396,5.659473912491066,9.059641581232192
21,180,14,88.8510208716816,6.1638548211495054,8.699767262176668
21,180,16,62.99119474879344,5.963762180936706,8.687504627490055
21,180,18,74.00538836919586,5.346764306500849,9.473723415039357
21,180,20,81.85951627291425,5.151281321392136,10.568272146725993
21,182,-10,254.29878709850723,10.002851127264913,10.254133732088432
21,182,-8,225.43830662757227,9.867292361597471,10.010422532792322
21,182,-6,196.31777844889587,10.440876514604899,10.087110497161715
21,182,-4,180.1956125657931,9.481771950531462,10.197807374581846
21,182,-2,167.70692053099498,8.800302472607331,10.41335665065948
21,182,0,188.7983344490162,8.592354488627874,10.50601248817378
21,182,2,192.30841539706586,9.759751576426805,9.29040615493592
21,182,4,191.6064603973989,9.602010079841618,8.499914182131512
21,182,6,190.71007602898285,9.622012288206292,8.614826856412769
21,182,7,192.19063713546007,9.527878459973465,8.77399484897445
21,182,8,195.13901850913308,9.140164507336596,8.919442403054608
21,182,10,183.3368073883147,6.359100020976554,8.921332189504835
21,182,12,154.7523751581216,5.296128449732315,8.848970837665933
21,182,14,99.9856992287397,5.623187016328019,8.571235254106487
21,182,16,70.22290412365469,5.615220236355472,8.941544306427838
21,182,18,71.04312082629816,5.137333825373819,9.926706330783407
21,182,20,79.38957422168228,5.037815728523425,10.925235298571579
21,184,-10,257.1341780585131,9.954898181823522,10.223042206560441
21,184,-8,233.1029012273193,9.582403486212566,9.931688828982718
21,184,-6,213.7368753811397,9.451946197995838,9.845906302909613
21,184,-4,193.73591421990253,9.094476082509303,9.998563388089908
21,184,-2,183.21906605942962,8.833915833532204,10.568002172700536
21,184,0,190.164900999951,8.778362046533173,10.441641217492945
21,184,2,189.6714036173253,9.455136002831683,9.173362026969855
21,184,4,192.41626356095787,9.488472675776118,8.664441708702677
21,184,6,189.29616516395677,9.311027551678707,8.594183934421755
21,184,7,191.34949197246493,9.082106806662699,8.695505796808531
21,184,8,191.10174301737806,8.717559927877868,8.69308205389444
21,184,10,184.4125538822127,6.497162827514023,8.862346077807622
21,184,12,164.04724207782473,5.051403544960642,8.790566376336706
21,184,14,119.13429376002709,5.088864333747652,8.613990398013614
21,184,16,92.99220515989727,5.0801760502804365,9.089334158397918
21,184,18,87.40974665127695,4.7915161087763165,10.022142033424167
21,184,20,93.75210282217901,5.0780666597161686,10.9258574012058
21,186,-10,263.15533332511995,9.977706963173183,10.41097118766902
21,186,-8,239.87588217903792,9.685699532247142,10.184622957321169
21,186,-6,224.03287271073899,9.514165809306974,9.937169649324085
21,186,-4,207.03973398406256,9.277429810632167,10.054826130249882
21,186,-2,194.34732502013352,9.065034228794767,10.353463030284388
21,186,0,190.95895321072874,9.2062562194431,9.549864598263493
